County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6001,"Alameda County, CA",5.6,1.7,48,15,0.1,0.072,9,2,0,19,9.4,,,,2019
6005,"Amador County, CA",,,,,0.08,0.067,,,,,,,,,2019
6007,"Butte County, CA",1.5,1,35,7,0.07,0.063,,,,,,53,20,,2019
6009,"Calaveras County, CA",,,,,0.08,0.066,,,,13,5.5,43,13,,2019
6011,"Colusa County, CA",,,,,0.06,0.053,,,,24,7,110,28,,2019
6013,"Contra Costa County, CA",1.7,0.9,34,7,0.09,0.069,15,4,1,17,7.8,53,15,,2019
6017,"El Dorado County, CA",,,,,0.09,0.071,,,,,,43,14,,2019
6019,"Fresno County, CA",1.8,1.4,63,20,0.1,0.08,6,2,0,37,11.7,234,39,,2019
6021,"Glenn County, CA",,,,,0.07,0.058,,,,,,115,20,,2019
6023,"Humboldt County, CA",1,0.8,17,2,0.05,0.046,1,1,0,18,6.8,44,15,,2019
6025,"Imperial County, CA",4.3,3.1,49,9,0.11,0.08,5,2,0,27,10.8,162,44,,2019
6027,"Inyo County, CA",1.3,0.6,,,0.07,0.069,0,0,0,23,5.2,529,24,,2019
6029,"Kern County, CA",1.2,0.8,56,21,0.1,0.084,,,,47,13,382,54,,2019
6031,"Kings County, CA",,,49,8,0.09,0.076,,,,47,12.3,469,49,,2019
6033,"Lake County, CA",,,,,0.06,0.051,,,,8,3.1,21,10,,2019
6037,"Los Angeles County, CA",3.8,2.9,78,23,0.12,0.101,8,2,0,30,13.4,159,29,0.02,2019
6039,"Madera County, CA",,,29,6,0.09,0.075,,,,31,9.7,155,36,,2019
6041,"Marin County, CA",1.3,0.8,40,8,0.08,0.059,,,,14,6.4,30,13,,2019
6043,"Mariposa County, CA",,,,,0.08,0.068,,,,,,124,20,,2019
6045,"Mendocino County, CA",,,,,0.06,0.051,,,,16,6,38,12,,2019
6047,"Merced County, CA",,,34,6,0.09,0.072,,,,30,9.6,80,29,,2019
6051,"Mono County, CA",,,,,,,,,,33,8.5,3427,62,,2019
6053,"Monterey County, CA",4.5,0.8,26,4,0.07,0.058,,,,13,5.7,76,19,,2019
6055,"Napa County, CA",1.2,0.8,29,5,0.08,0.06,,,,14,5.9,29,13,,2019
6057,"Nevada County, CA",,,,,0.08,0.072,,,,16,6.3,,,,2019
6059,"Orange County, CA",2.5,1.5,50,19,0.1,0.082,,,,24,9.4,105,24,,2019
6061,"Placer County, CA",,,43,7,0.08,0.067,,,,21,7.2,54,14,,2019
6063,"Plumas County, CA",,,,,,,,,,27,10.8,,,,2019
6065,"Riverside County, CA",1.8,1.2,53,14,0.13,0.096,1,1,0,36,12.7,243,47,0.01,2019
6067,"Sacramento County, CA",1.6,1.2,55,12,0.1,0.071,3,1,0,30,8.4,90,22,,2019
6069,"San Benito County, CA",,,,,0.08,0.062,,,,11,4.9,75,17,,2019
6071,"San Bernardino County, CA",2.2,1.1,74,29,0.14,0.106,7,3,2,36,15.5,165,35,0.01,2019
6073,"San Diego County, CA",3.5,1.7,47,14,0.1,0.076,1,0,0,27,13.7,153,32,0.02,2019
