Year,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,Lead Max 3-Mo Avg,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr
2019,6001,"Alameda County, CA",5.6,1.7,,48.0,15.0,0.1,0.072,,,19.0,9.4,2.0,9.0,0.0
2019,6005,"Amador County, CA",,,,,,0.08,0.067,,,,,,,
2019,6007,"Butte County, CA",1.5,1.0,,35.0,7.0,0.07,0.063,53.0,20.0,,,,,
2019,6009,"Calaveras County, CA",,,,,,0.08,0.066,43.0,13.0,13.0,5.5,,,
2019,6011,"Colusa County, CA",,,,,,0.06,0.053,110.0,28.0,24.0,7.0,,,
2019,6013,"Contra Costa County, CA",1.7,0.9,,34.0,7.0,0.09,0.069,53.0,15.0,17.0,7.8,4.0,15.0,1.0
2019,6017,"El Dorado County, CA",,,,,,0.09,0.071,43.0,14.0,,,,,
2019,6019,"Fresno County, CA",1.8,1.4,,63.0,20.0,0.1,0.08,234.0,39.0,37.0,11.7,2.0,6.0,0.0
2019,6021,"Glenn County, CA",,,,,,0.07,0.058,115.0,20.0,,,,,
2019,6023,"Humboldt County, CA",1.0,0.8,,17.0,2.0,0.05,0.046,44.0,15.0,18.0,6.8,1.0,1.0,0.0
2019,6025,"Imperial County, CA",4.3,3.1,,49.0,9.0,0.11,0.08,162.0,44.0,27.0,10.8,2.0,5.0,0.0
2019,6027,"Inyo County, CA",1.3,0.6,,,,0.07,0.069,529.0,24.0,23.0,5.2,0.0,0.0,0.0
2019,6029,"Kern County, CA",1.2,0.8,,56.0,21.0,0.1,0.084,382.0,54.0,47.0,13.0,,,
2019,6031,"Kings County, CA",,,,49.0,8.0,0.09,0.076,469.0,49.0,47.0,12.3,,,
2019,6033,"Lake County, CA",,,,,,0.06,0.051,21.0,10.0,8.0,3.1,,,
2019,6037,"Los Angeles County, CA",3.8,2.9,0.02,78.0,23.0,0.12,0.101,159.0,29.0,30.0,13.4,2.0,8.0,0.0
2019,6039,"Madera County, CA",,,,29.0,6.0,0.09,0.075,155.0,36.0,31.0,9.7,,,
2019,6041,"Marin County, CA",1.3,0.8,,40.0,8.0,0.08,0.059,30.0,13.0,14.0,6.4,,,
2019,6043,"Mariposa County, CA",,,,,,0.08,0.068,124.0,20.0,,,,,
2019,6045,"Mendocino County, CA",,,,,,0.06,0.051,38.0,12.0,16.0,6.0,,,
2019,6047,"Merced County, CA",,,,34.0,6.0,0.09,0.072,80.0,29.0,30.0,9.6,,,
2019,6051,"Mono County, CA",,,,,,,,3427.0,62.0,33.0,8.5,,,
2019,6053,"Monterey County, CA",4.5,0.8,,26.0,4.0,0.07,0.058,76.0,19.0,13.0,5.7,,,
2019,6055,"Napa County, CA",1.2,0.8,,29.0,5.0,0.08,0.06,29.0,13.0,14.0,5.9,,,
2019,6057,"Nevada County, CA",,,,,,0.08,0.072,,,16.0,6.3,,,
2019,6059,"Orange County, CA",2.5,1.5,,50.0,19.0,0.1,0.082,105.0,24.0,24.0,9.4,,,
2019,6061,"Placer County, CA",,,,43.0,7.0,0.08,0.067,54.0,14.0,21.0,7.2,,,
2019,6063,"Plumas County, CA",,,,,,,,,,27.0,10.8,,,
2019,6065,"Riverside County, CA",1.8,1.2,0.01,53.0,14.0,0.13,0.096,243.0,47.0,36.0,12.7,1.0,1.0,0.0
2019,6067,"Sacramento County, CA",1.6,1.2,,55.0,12.0,0.1,0.071,90.0,22.0,30.0,8.4,1.0,3.0,0.0
2019,6069,"San Benito County, CA",,,,,,0.08,0.062,75.0,17.0,11.0,4.9,,,
2019,6071,"San Bernardino County, CA",2.2,1.1,0.01,74.0,29.0,0.14,0.106,165.0,35.0,36.0,15.5,3.0,7.0,2.0
2019,6073,"San Diego County, CA",3.5,1.7,0.02,47.0,14.0,0.1,0.076,153.0,32.0,27.0,13.7,0.0,1.0,0.0
