date,county,parameter,arithmetic_mean,local_site_name,city,state,county_code,latitude,longitude,units_of_measure
2019-03-31,Los Angeles,Lead (TSP) LC,0.008035714285714287,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2019-03-31,Riverside,Lead (TSP) LC,0.0036,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2019-03-31,San Bernardino,Lead (TSP) LC,0.0034,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2019-03-31,San Diego,Lead (TSP) LC,0.010249999999999999,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2019-03-31,Santa Clara,Lead (TSP) LC,0.0348,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2019-06-30,Los Angeles,Lead (TSP) LC,0.00755,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2019-06-30,Riverside,Lead (TSP) LC,0.0038,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2019-06-30,San Bernardino,Lead (TSP) LC,0.0055,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2019-06-30,San Diego,Lead (TSP) LC,0.0104,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2019-06-30,Santa Clara,Lead (TSP) LC,0.046,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2019-09-30,Los Angeles,Lead (TSP) LC,0.008257142857142857,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2019-09-30,Riverside,Lead (TSP) LC,0.0053,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2019-09-30,San Bernardino,Lead (TSP) LC,0.0069,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2019-09-30,San Diego,Lead (TSP) LC,0.00765,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2019-09-30,Santa Clara,Lead (TSP) LC,0.0579,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2019-12-31,Los Angeles,Lead (TSP) LC,0.009607142857142857,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2019-12-31,Riverside,Lead (TSP) LC,0.0061,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2019-12-31,San Bernardino,Lead (TSP) LC,0.0089,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2019-12-31,San Diego,Lead (TSP) LC,0.0132,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2019-12-31,Santa Clara,Lead (TSP) LC,0.0583,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
