state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,cbsa_code,cbsa,date_of_last_change,status,request_time,url,rows,date
06,073,1023,14129,1,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,1,Micrograms/cubic meter (LC),No Events,14,93.0,0.0104,0.001,0.032,Y,14.0,14.0,15.0,15.6,16.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-03-31
06,073,1023,14129,1,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,2,Micrograms/cubic meter (LC),No Events,16,100.0,0.0103,0.003,0.022,Y,15.0,15.0,15.0,16.5,18.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-06-30
06,073,1023,14129,1,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,3,Micrograms/cubic meter (LC),No Events,17,100.0,0.0075,0.002,0.02,Y,16.0,16.0,16.0,17.4,18.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-09-30
06,073,1023,14129,1,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,4,Micrograms/cubic meter (LC),No Events,15,100.0,0.0129,0.002,0.036,Y,15.0,15.0,15.0,16.3,16.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-12-31
06,073,1023,14129,2,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,1,Micrograms/cubic meter (LC),No Events,15,100.0,0.0101,0.001,0.032,Y,15.0,15.0,15.0,16.7,17.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-03-31
06,073,1023,14129,2,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,2,Micrograms/cubic meter (LC),No Events,16,100.0,0.0105,0.004,0.023,Y,15.0,15.0,15.0,16.5,18.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-06-30
06,073,1023,14129,2,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,3,Micrograms/cubic meter (LC),No Events,16,100.0,0.0078,0.002,0.021,Y,16.0,16.0,16.0,17.4,17.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-09-30
06,073,1023,14129,2,33.1309,-117.2724,NAD83,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,4,Micrograms/cubic meter (LC),No Events,15,100.0,0.0135,0.002,0.04,Y,15.0,15.0,15.0,16.3,16.0,0942,San Diego County Air Pollution Control District,Palomar Airport,2192 Palomar Airport Rd.,California,San Diego,Carlsbad,41740,"San Diego-Carlsbad, CA",2021-11-01,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-12-31
06,037,1406,14129,1,34.0083,-118.1906,WGS84,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,1,Micrograms/cubic meter (LC),No Events,14,93.0,0.0077,0.004,0.011,Y,14.0,14.0,15.0,15.6,16.0,0972,South Coast Air Quality Management District,ATSF (Exide),"Rail Road Yard Washington Blvd., Commerce, CA 90058",California,Los Angeles,Commerce,31080,"Los Angeles-Long Beach-Anaheim, CA",2022-01-13,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-03-31
06,037,1406,14129,1,34.0083,-118.1906,WGS84,Lead (TSP) LC,24 HOUR,7,O,Lead 3-Month 2009,2019,2,Micrograms/cubic meter (LC),No Events,13,87.0,0.0063,0.004,0.01,Y,13.0,13.0,15.0,14.3,14.0,0972,South Coast Air Quality Management District,ATSF (Exide),"Rail Road Yard Washington Blvd., Commerce, CA 90058",California,Los Angeles,Commerce,31080,"Los Angeles-Long Beach-Anaheim, CA",2022-01-13,Success,2025-10-06T17:56:06-04:00,https://aqs.epa.gov/data/api/quarterlyData/byState?email=**MASKED**&key=**MASKED**&param=14129&bdate=20190101&edate=20191231&state=06,76,2019-06-30
